cgpa,projects,internships,certifications,backlogs,placement
5.418953600035832,0,1,3,8,No
7.547195572982863,3,1,3,11,No
6.643490351143754,0,1,4,0,Yes
9.846276485655089,2,1,1,4,No
9.085807244036845,3,0,3,9,No
9.35543334658372,3,0,2,11,No
7.50647263581091,3,2,1,4,Yes
9.310866735187902,0,2,0,2,Yes
7.751827871884279,0,2,4,2,Yes
5.871186105841002,4,0,1,1,Yes
6.983655726528622,2,2,4,10,No
7.1562881512193135,1,2,1,5,No
9.493974685481051,5,2,4,12,No
6.736284849374698,2,2,4,8,No
5.704312683267712,2,1,4,4,No
6.190116991773079,4,1,1,11,No
9.083957304551099,0,1,0,13,No
5.424782366590023,5,1,1,8,No
7.65618650601426,2,1,0,1,Yes
7.313282931280153,5,0,3,6,No
8.8292259986693,1,0,0,3,No
6.99398682811136,1,0,3,6,No
6.3966190093893305,2,0,2,10,No
7.6117644185031175,0,2,2,7,No
8.052644819704927,2,0,4,0,Yes
5.203610869352319,4,2,4,8,No
9.886104709785872,0,1,0,2,Yes
5.216827777173412,3,0,0,2,Yes
7.3559723173778,5,0,3,10,No
6.676245541711925,0,0,1,3,No
9.116047048054057,2,1,3,12,No
8.955780710466096,3,2,3,13,No
7.830849092550221,3,2,0,9,No
9.016559659955748,3,0,2,5,No
8.032945868707028,2,0,0,12,No
8.030133919495963,4,1,4,9,No
8.173721043748486,4,0,2,2,Yes
6.274085184487154,0,2,1,10,No
7.084343479325469,3,2,3,10,No
8.833596551406258,4,2,2,8,No
7.563366463785828,0,2,0,2,Yes
6.5155568637735515,3,0,4,1,Yes
9.965181990582629,2,2,1,9,No
7.712607862061996,0,0,4,9,No
5.933832377381575,2,2,1,7,No
8.57369673955803,2,1,3,9,No
9.840969841168263,5,1,2,13,No
8.260815571025857,1,1,4,9,No
8.620221643693554,1,1,2,3,Yes
7.380212106732298,5,0,0,4,No
8.805394760535492,2,0,3,2,Yes
7.900097616234335,3,1,1,8,No
9.285431859549263,4,0,2,1,Yes
7.598944261059102,2,2,4,1,Yes
6.748741087062447,4,1,3,12,No
5.529643246096104,5,0,1,6,No
6.154691851408479,4,1,4,0,Yes
5.36463823252277,5,2,3,4,Yes
6.600692114609042,5,1,4,13,No
7.30042297722475,2,1,0,10,No
7.083845756633579,2,0,1,3,No
7.853947051593184,3,0,1,3,No
7.692576285616763,5,0,1,13,No
9.620914892347775,4,1,4,7,No
6.333875955744075,1,0,2,5,No
6.082981684850871,0,1,1,10,No
5.168082129722759,4,2,0,13,No
8.987929962276375,1,2,4,11,No
7.623121703598918,5,0,1,13,No
8.587910960732174,4,2,3,1,Yes
5.231403476278032,0,0,0,11,No
6.151191876818671,4,2,1,0,Yes
8.586922987887261,4,0,1,8,No
7.879268193002019,5,0,1,0,Yes
5.753412481030398,1,1,1,13,No
6.555228136756485,1,2,1,13,No
8.383425213842159,4,2,0,8,No
6.282257629827168,2,2,1,8,No
7.828677051190862,3,0,0,4,Yes
5.181521039796676,4,0,3,1,Yes
7.433348338177255,5,0,3,0,Yes
5.741474060086977,1,2,3,4,No
6.334966613360642,4,0,2,7,No
9.179730822295006,5,1,1,11,No
9.853531809682533,2,0,0,5,Yes
8.433537532863205,3,0,3,13,No
5.734820299662094,2,0,1,9,No
9.704974124059873,4,1,0,7,No
8.539530595254643,3,0,2,11,No
7.004930132525729,1,2,3,5,No
9.447729541407686,4,1,4,13,No
6.731890670617176,1,2,1,9,No
9.147122618666128,1,2,4,2,Yes
7.599921810105156,2,0,0,11,No
6.82304516534973,0,2,2,13,No
6.242876555783997,0,2,1,5,No
5.012454573695929,0,1,2,4,No
6.201828793596384,3,2,0,0,Yes
5.597413755435744,4,0,3,13,No
5.520375532797425,1,2,2,5,No
7.945456827569465,1,1,2,9,No
8.332207019756519,5,0,3,13,No
5.517119828786356,5,2,0,8,No
6.8668255571673456,2,2,1,2,Yes
8.55702382991675,3,1,0,2,Yes
6.229086345673761,4,1,3,5,No
6.34876010388894,0,2,2,13,No
8.002926864714532,5,0,4,1,Yes
5.255259581804429,0,0,1,4,No
6.628891680063075,1,0,0,7,No
7.7564982360041625,4,2,4,12,No
7.80482423842066,4,2,0,5,No
9.953546931956971,3,1,4,13,No
9.511888769273368,1,2,3,9,No
9.212450469096897,4,2,0,13,No
5.75439933074755,0,0,2,11,No
7.02943183711473,0,1,0,3,Yes
9.105115116774426,4,0,4,10,No
5.7343269702672135,1,0,0,5,No
7.709402689971433,1,0,4,7,No
6.763372235755969,2,0,1,5,No
8.26998016072341,0,0,3,7,No
7.432682113194229,3,0,3,1,Yes
7.087559668572954,5,2,1,3,Yes
5.10445638632414,1,1,4,11,No
7.654053384635439,2,1,1,12,No
7.02678311592359,0,0,1,3,No
7.040134249957329,2,1,3,6,No
7.961525670545668,4,1,3,10,No
5.880571438145133,5,0,3,0,Yes
8.595805253201242,4,2,4,8,No
6.878320762514065,5,1,4,8,No
9.494993359410973,2,2,1,3,Yes
8.823949461614928,2,1,2,9,No
7.94775280880137,3,0,3,12,No
6.240676598517041,2,0,4,5,No
5.071835084217258,1,0,2,6,No
7.95002175896797,4,0,3,4,Yes
9.596664473084964,3,0,3,2,Yes
9.67619898112217,1,1,3,5,Yes
9.873012389327444,4,2,2,2,Yes
5.56852636423393,5,0,4,2,Yes
8.419346756486249,5,2,2,5,No
7.420943878640751,2,0,0,7,No
6.464428185813205,4,1,0,7,No
7.88644303671129,5,2,1,9,No
5.417665913033359,3,2,3,7,No
6.181040226936085,0,2,0,3,Yes
9.033875137272133,2,0,4,10,No
9.124306447201505,0,1,1,3,Yes
9.333076554582636,0,1,3,3,Yes
5.530980644484194,0,0,4,5,No
6.59117337387967,3,1,4,3,Yes
6.407775999227736,3,0,0,12,No
6.084795607400933,0,1,3,1,Yes
9.761217905291842,5,1,4,6,Yes
8.71728474543706,3,1,4,3,Yes
7.228489612962175,0,1,0,7,No
9.72668106283544,4,0,4,11,No
8.911361169699676,1,1,2,1,Yes
6.986316417001247,3,1,2,2,Yes
8.143162575654117,4,2,3,1,Yes
5.074260304548163,0,0,3,11,No
8.155227951492728,0,0,0,10,No
6.238789224360765,4,2,1,9,No
6.9283648333506855,3,1,4,7,No
9.73611585091734,2,1,1,6,No
9.566301045381033,1,2,1,9,No
5.247388174212097,0,1,1,6,No
9.022985035384437,2,0,0,2,Yes
7.92251062813028,5,0,0,10,No
6.052999521429437,3,2,3,5,No
7.719164363581208,3,0,3,12,No
5.190837423563086,3,0,4,5,No
9.202574909058406,3,2,4,12,No
7.997261779312163,2,1,0,5,No
7.800512700092517,2,0,0,12,No
7.979160710166967,2,1,1,9,No
9.380124531923727,2,0,0,6,No
9.560566430749542,5,2,4,0,Yes
7.593752700829359,3,1,1,6,No
5.786659794435712,3,1,4,9,No
5.869049709162914,4,2,3,5,No
6.35240465003001,4,0,3,9,No
8.824313482788106,2,2,2,8,No
5.063062162914399,5,2,3,3,Yes
8.632898101898578,1,0,2,6,No
8.762518247519058,0,1,0,1,Yes
6.393999159361716,2,0,3,6,No
8.905307986229554,1,1,3,13,No
6.5388919309366305,4,1,0,9,No
8.676491895190559,0,2,0,6,No
6.715182964034893,1,1,0,5,No
6.6248621131833,5,1,4,0,Yes
6.387271864054968,0,2,1,8,No
7.804062005661835,2,1,3,6,No
5.600279466212135,5,2,1,13,No
8.599078789067494,4,0,1,12,No
9.142963878940662,4,2,1,2,Yes
9.531362091947447,2,1,1,12,No
8.791642270194309,4,1,3,2,Yes
9.15185153712694,4,0,3,5,No
8.06321134931685,4,0,4,7,No
7.7782845327283185,2,0,0,5,No
7.06471639852945,5,1,1,4,No
7.1918246096417215,5,0,1,7,No
6.630416826388684,5,0,0,3,Yes
8.503529366640873,0,0,3,12,No
5.127506656484137,5,1,1,1,Yes
8.463871347600183,3,1,3,8,No
9.727442860424805,2,2,4,12,No
5.594401847212097,0,2,2,2,Yes
8.72079289224948,2,2,1,10,No
5.339070764117525,1,2,3,11,No
8.03219817018252,5,0,4,8,No
8.632139805194733,2,1,0,8,No
6.626334452671963,5,0,0,0,Yes
7.453519877578999,4,0,1,2,Yes
7.128262360343753,2,1,0,8,No
7.9012046391564414,3,2,0,12,No
5.205839900172314,2,1,3,3,Yes
8.426762797790577,4,0,0,0,Yes
6.66138150388222,3,2,0,10,No
9.554867419160267,3,2,2,6,No
7.191396321747518,5,2,1,0,Yes
5.49965993392885,2,0,1,8,No
7.554321195321137,2,0,2,10,No
9.959373052861457,3,2,1,6,No
8.205387218936803,4,2,4,6,Yes
6.965641167330496,0,2,4,5,No
9.448220803288839,3,1,4,12,No
5.187404527546941,4,2,0,12,No
6.9801448828305155,5,2,0,11,No
9.324651627250695,3,1,1,8,No
8.800589628491249,1,2,2,2,Yes
5.571456333436607,3,2,2,4,No
6.951857064307746,3,0,1,6,No
9.659938582743791,1,0,3,3,No
5.223585991130545,5,2,1,0,Yes
7.221551261215445,0,0,4,2,Yes
6.913099258224211,2,2,2,6,No
9.431099317245595,4,0,2,0,Yes
8.217831577410415,4,2,4,12,No
5.817484632749612,0,2,3,2,Yes
9.934093134335745,2,0,1,2,Yes
9.484102000484437,1,2,0,6,No
5.065300654718489,0,2,2,5,No
6.530034476524632,1,1,4,12,No
9.521677313194273,2,1,0,13,No
5.433909653714018,2,1,3,0,Yes
5.5706359984098865,3,2,3,4,No
8.708432241373895,1,0,2,13,No
8.59807153735051,1,1,3,9,No
9.433176357475876,0,2,1,5,No
7.133302149848888,1,0,4,7,No
6.820320367540301,2,1,4,5,No
7.701658143866686,1,1,1,0,Yes
7.018841118870636,0,1,3,7,No
8.335288306406573,2,0,3,4,No
7.452323992465491,1,1,0,11,No
7.792815639330124,3,0,2,6,No
6.439294141389453,0,1,0,6,No
8.15783841974613,3,0,0,8,No
6.48796622043653,2,2,1,11,No
7.884769705953065,4,0,2,8,No
5.693880678503912,0,1,3,1,Yes
7.3056801451846844,5,0,1,3,Yes
7.8849576249724365,1,1,4,5,No
7.036817052885465,2,2,0,9,No
8.457941865008811,0,2,3,9,No
5.481763857409257,1,0,4,8,No
5.6527524670309806,4,2,1,6,No
6.642087939364404,2,0,0,12,No
7.262912832808059,2,0,1,5,No
8.592664700453328,3,0,1,2,Yes
6.203414809065659,3,1,3,13,No
9.922235905539262,0,0,4,11,No
7.70488628331583,0,1,2,3,No
9.133290950669062,0,2,0,3,Yes
6.3624979316808705,0,2,4,10,No
8.723681417546867,1,0,2,13,No
9.00458875850884,1,2,1,8,No
5.153161928642066,2,0,2,7,No
9.88719604494812,3,2,3,10,No
5.968119847827196,5,2,4,13,No
8.15796483493008,1,1,4,6,No
5.001624235305274,4,0,4,4,No
8.815421696286446,3,2,2,12,No
7.3069314869963495,1,1,3,9,No
7.360078126803581,4,0,0,1,Yes
